弹体重量,弹体直径,弹体长度,侵彻速度,靶体抗压强度,弹体形状系数,侵彻深度
4.43,57.0,456.4,340.2,35.0,3.0,0.31
4.43,57.0,456.4,419.2,35.0,3.0,0.427
4.43,57.0,456.4,384.9,35.0,3.0,0.427
4.44,57.0,456.4,386.74,35.0,3.0,0.35
4.44,57.0,456.4,364.48,35.0,3.0,0.36
4.43,57.0,456.4,497.18,35.0,3.0,0.5
4.44,57.0,456.4,590.0,35.0,3.0,0.625
18.7,125.0,684.0,353.0,48.0,3.0,0.603
18.6,125.0,684.0,346.0,48.0,3.0,0.489
19.5,125.0,684.0,356.0,48.0,3.0,0.599
0.25,20.0,120.0,216.0,76.6,3.0,0.053
0.25,20.0,120.0,224.0,76.6,3.0,0.059
5.0,64.0,320.0,409.0,34.7,3.0,0.512
7.226,64.0,400.0,317.0,35.0,3.0,0.345
7.434,64.0,400.0,308.0,35.0,3.0,0.42
4.0,60.0,300.0,833.0,47.6,3.0,1.25
4.0,60.0,300.0,1119.0,47.6,3.0,1.79
4.0,60.0,300.0,997.5,47.6,3.0,1.58
4.0,60.0,300.0,1242.0,47.6,3.0,2.136
4.0,60.0,300.0,1401.8,47.6,3.0,3.2
1.406,40.0,213.0,431.0,14.8,2.0,0.384
0.064,12.9,88.9,371.0,13.5,3.0,0.13
0.064,12.9,88.9,590.0,13.5,3.0,0.31
0.064,12.9,88.9,670.0,13.5,3.0,0.36
0.064,12.9,88.9,722.0,13.5,3.0,0.41
0.064,12.9,88.9,945.0,13.5,3.0,0.64
0.064,12.9,88.9,1126.0,13.5,3.0,0.85
0.064,12.9,88.9,345.0,13.5,4.25,0.11
0.064,12.9,88.9,585.0,13.5,4.25,0.31
0.064,12.9,88.9,722.0,13.5,4.25,0.44
0.064,12.9,88.9,1063.0,13.5,4.25,0.86
0.064,12.9,88.9,492.0,21.6,3.0,0.17
0.064,12.9,88.9,618.0,21.6,3.0,0.25
0.064,12.9,88.9,788.0,21.6,3.0,0.45
0.064,12.9,88.9,910.0,21.6,3.0,0.55
0.064,12.9,88.9,1142.0,21.6,3.0,0.85
0.064,12.9,88.9,473.0,21.6,4.25,0.17
0.064,12.9,88.9,660.0,21.6,4.25,0.27
0.064,12.9,88.9,775.0,21.6,4.25,0.41
0.064,12.9,88.9,921.0,21.6,4.25,0.57
0.064,12.9,88.9,1050.0,21.6,4.25,0.76
0.064,12.9,88.9,1190.0,21.6,4.25,0.88
0.064,12.9,88.9,1356.0,19.5,3.0,1.06
0.064,12.9,88.9,1408.0,19.5,3.0,0.58
0.478,20.3,203.2,450.0,62.8,3.0,0.3
0.478,20.3,203.2,612.0,62.8,3.0,0.48
0.478,20.3,203.2,926.0,62.8,3.0,0.95
0.478,20.3,203.2,987.0,62.8,3.0,0.92
0.478,20.3,203.2,1024.0,62.8,3.0,0.94
1.608,30.5,304.8,405.0,51.0,3.0,0.37
1.6,30.5,304.8,446.0,51.0,3.0,0.42
1.6,30.5,304.8,545.0,51.0,3.0,0.56
1.603,30.5,304.8,651.0,51.0,3.0,0.78
1.604,30.5,304.8,804.0,51.0,3.0,1.05
1.6,30.5,304.8,821.0,51.0,3.0,1.23
1.603,30.5,304.8,900.0,51.0,3.0,1.41
1.599,30.5,304.8,1009.0,51.0,3.0,1.75
1.609,30.5,304.8,1069.0,51.0,3.0,1.96
1.603,30.5,304.8,1201.0,51.0,3.0,2.03
25.0,100.0,666.0,310.0,35.0,4.0,0.59
25.0,100.0,666.0,387.0,35.0,4.0,0.76
25.0,100.0,666.0,468.0,35.0,4.0,1.18
25.0,100.0,666.0,624.0,35.0,4.0,1.71
2.3,50.8,355.6,320.0,43.0,3.0,0.185
2.3,50.8,355.6,310.0,43.0,3.0,0.175
2.3,50.8,355.6,316.0,43.0,3.0,0.157
